time,id,mood,arousal,valence,activity,screen,call,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather,id_label
2/26/14,0,6.25,-0.25,0.75,0.09046372721276598,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS14.01
2/27/14,0,6.333333333,0.0,0.333333333,0.09046372721276598,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS14.01
3/20/14,0,6.7451666666570045,-0.240070922,0.7012411347446809,0.081547619,2275.944,1,0,248.979,2168.229,350.856,0.0,0.0,0.0,11.345,807.7310000000001,0.0,45.173,21.074,0.0,AS14.01
3/21/14,0,6.2,0.2,0.2,0.134050104,17978.907,6,0,3139.218,6280.89,1007.456,49.544,0.0,172.206,239.751,4508.5,915.445,0.0,598.754,0.0,AS14.01
3/22/14,0,6.4,0.6,0.5,0.236880219,6142.161,3,1,731.429,4962.918,93.324,21.076,0.0,0.0,98.143,439.632,37.305,0.0,117.621,0.0,AS14.01
3/23/14,0,6.8,0.2,0.8,0.142741116,6773.832001000002,0,0,1286.246,5237.319,94.346,43.403,0.0,0.0,72.82300000000002,900.839,0.0,0.0,30.086,30.386,AS14.01
3/24/14,0,6.0,0.8,0.0,0.078961056,15047.351,10,0,866.956,9270.629,976.971,34.106,0.0,3.01,66.558,3223.626,419.805,0.0,178.732,0.0,AS14.01
3/25/14,0,6.75,0.5,0.5,0.098374112,21475.355,0,1,1032.768,10276.751,68.206,43.054,0.0,0.0,178.81900000000005,1919.471,0.0,235.223,222.893,0.0,AS14.01
3/26/14,0,6.6,-0.2,0.6,0.101308322,16423.801,0,0,1167.497,8988.753,910.479,52.331,0.0,0.0,97.498,4592.059,0.0,0.0,33.365,0.0,AS14.01
3/27/14,0,7.0,0.2,0.8,0.159510641,17442.15,2,1,1229.327,6936.512,639.339,42.219,0.0,182.451,58.532,935.381,47.31399999999999,0.0,179.02900000000002,0.0,AS14.01
3/28/14,0,6.4,-0.6,0.6,0.095698022,4923.489000000001,5,0,10062.595,866.8330000000002,1005.403,89.166,233.036,0.0,225.951,512.741,1133.009,0.0,301.717,0.0,AS14.01
