time,gyro_x,gyro_y,gyro_z,absolute,activity
0 days 00:00:00,-1.8,0.139,-0.618,1.9,walking
0 days 00:00:00.010000,-1.77,0.224,-0.63,1.89,walking
0 days 00:00:00.020000,-1.7,-0.00113,-0.452,1.76,walking
0 days 00:00:00.030000,-1.88,0.0483,-0.247,1.89,walking
0 days 00:00:00.040000,-2.02,0.633,-0.125,2.12,walking
0 days 00:00:00.050000,-1.88,0.826,0.25,2.07,walking
0 days 00:00:00.060000,-1.42,1.07,0.723,1.92,walking
0 days 00:00:00.070000,-0.851,1.13,1.02,1.75,walking
0 days 00:00:00.080000,-0.432,0.974,0.971,1.44,walking
0 days 00:00:00.090000,-0.158,0.548,0.658,0.87,walking
0 days 00:00:00.100000,0.0403,0.0506,0.286,0.293,walking
0 days 00:00:00.110000,0.169,-0.516,0.0462,0.545,walking
0 days 00:00:00.120000,0.229,-0.789,-0.143,0.834,walking
0 days 00:00:00.130000,0.265,-0.781,-0.204,0.849,walking
0 days 00:00:00.140000,0.253,-0.691,-0.0373,0.737,walking
0 days 00:00:00.150000,0.308,-0.489,0.0778,0.583,walking
0 days 00:00:00.160000,0.369,-0.319,0.241,0.544,walking
0 days 00:00:00.170000,0.436,-0.429,0.377,0.718,walking
0 days 00:00:00.180000,0.475,-0.468,0.432,0.794,walking
0 days 00:00:00.190000,0.453,-0.753,0.522,1.02,walking
0 days 00:00:00.200000,0.431,-1.14,0.522,1.32,walking
0 days 00:00:00.210000,0.449,-1.44,0.405,1.56,walking
0 days 00:00:00.220000,0.505,-1.54,0.248,1.64,walking
0 days 00:00:00.230000,0.602,-1.26,0.0665,1.4,walking
0 days 00:00:00.240000,0.695,-0.62,-0.111,0.938,walking
0 days 00:00:00.250000,0.747,0.0942,-0.321,0.818,walking
0 days 00:00:00.260000,0.708,0.624,-0.571,1.1,walking
0 days 00:00:00.270000,0.529,0.839,-0.808,1.28,walking
0 days 00:00:00.280000,0.246,0.489,-1.01,1.15,walking
